plate,fiber,ra,dec,z_qso,spectrum,rest_frame,dla_z,column_density,std_column_density,dla_confidence
519,578,186.512100,3.429835,2.988282,4264.813065,1069.335895,2.508200,20.942731,0.093437,1.000000
524,557,196.580760,2.616371,4.836900,5441.266536,932.218527,3.475940,20.674430,0.133635,0.187500
524,557,196.580760,2.616371,4.836900,6131.969697,1050.552425,4.044107,20.375053,0.102140,0.450000
524,557,196.580760,2.616371,4.836900,6404.717816,1097.280673,4.268467,20.830160,0.081023,0.912500
525,389,197.283030,2.909060,2.943292,3945.481397,1000.555245,2.245520,20.679322,0.037252,1.000000
527,478,201.785170,2.333797,2.546300,3840.608157,1082.990223,2.159252,20.384941,0.075066,1.000000
527,478,201.785170,2.333797,2.546300,4279.568675,1206.770086,2.520337,20.652398,0.093905,1.000000
528,333,203.049600,3.265649,4.695922,5328.439020,935.483161,3.383129,20.716438,0.248891,1.000000
528,333,203.049600,3.265649,4.695922,5714.786367,1003.311925,3.700936,20.812807,0.088629,0.425000
528,333,203.049600,3.265649,4.695922,6432.799273,1129.369291,4.291567,20.534507,0.105331,0.712500
529,204,205.392490,1.699380,4.681720,5637.674531,992.247902,3.637504,20.546192,0.071903,1.000000
530,240,206.998340,2.219024,3.306982,5114.462516,1187.481737,3.207114,20.420588,0.052919,1.000000
530,267,206.808940,1.983741,3.704792,5575.707722,1185.112476,3.586531,20.425069,0.123041,0.487500
531,50,210.503680,1.297726,2.927574,4169.653822,1061.635989,2.429922,20.356314,0.086792,1.000000
531,308,208.667370,1.974342,3.288574,4329.123745,1009.455303,2.561101,20.902344,0.056248,1.000000
531,331,209.150540,3.025342,3.873012,4745.696932,973.873421,2.903771,20.434508,0.070391,1.000000
531,331,209.150540,3.025342,3.873012,5615.649584,1152.398046,3.619386,20.540976,0.184206,0.800000
532,218,211.788920,1.405584,3.330679,4511.282253,1041.703233,2.710943,20.500865,0.077604,1.000000
532,311,210.700300,1.776145,4.187241,5196.369201,1001.759726,3.274490,20.962364,0.044626,1.000000
532,328,211.019330,3.234443,4.869700,6790.472582,1156.868773,4.585786,20.811882,0.235950,0.862500
538,168,224.012830,1.245981,2.363000,4325.138310,1286.095278,2.557823,20.921733,0.149188,0.187500
538,168,224.012830,1.245981,2.363000,4417.738449,1313.630258,2.633995,20.795322,0.115425,0.212500
538,434,223.181730,1.908553,3.927171,5168.922254,1049.064922,3.251912,21.283905,0.065123,1.000000
541,151,114.325690,32.608755,3.022779,4730.423244,1175.909305,2.891207,20.388348,0.037924,1.000000
541,565,115.435340,33.943635,3.825146,5432.503315,1125.873364,3.468732,20.345465,0.092069,1.000000
542,165,116.251970,34.291986,3.704736,4856.238414,1032.202109,2.994701,20.511053,0.062661,1.000000
542,165,116.251970,34.291986,3.704736,5142.804319,1093.112201,3.230428,21.140797,0.036458,1.000000
545,530,121.896540,41.659853,3.927774,4998.043136,1014.259823,3.111349,20.651759,0.068161,1.000000
548,167,126.552260,45.232146,3.820579,5420.008904,1124.348101,3.458454,21.187875,0.037361,1.000000
548,167,126.552260,45.232146,3.820579,5721.369547,1186.863546,3.706351,20.519930,0.044393,1.000000
550,460,129.808940,48.857166,2.972504,4823.918924,1214.327045,2.968115,20.505127,0.060329,1.000000
554,178,139.740310,53.538896,3.013007,3894.036339,970.353755,2.203202,20.370522,0.119897,0.762500
556,474,145.254160,56.478779,3.020910,4178.303666,1039.143786,2.437038,20.507116,0.058560,1.000000
557,418,147.558540,58.026807,3.989766,5185.611777,1039.249516,3.265641,20.592331,0.059010,1.000000
559,1,156.706660,58.350488,2.810241,3976.490965,1043.632406,2.271028,21.033970,0.083161,1.000000
559,1,156.706660,58.350488,2.810241,4359.131797,1144.056719,2.585785,20.620968,0.080241,1.000000
560,158,159.149800,59.300105,3.662657,4469.922568,958.664244,2.676921,20.797203,0.099352,1.000000
565,437,133.434190,3.250686,2.905970,4105.820890,1051.165469,2.377414,20.698327,0.040386,1.000000
566,83,137.043170,2.638532,3.689502,4815.041117,1026.770245,2.960813,20.693124,0.093059,1.000000
566,83,137.043170,2.638532,3.689502,5356.733000,1142.281845,3.406404,21.052046,0.107906,1.000000
568,234,140.845260,3.639339,3.004318,3919.223225,978.749247,2.223920,20.392252,0.091139,1.000000
569,124,143.630540,2.940338,3.215178,4927.197832,1168.918090,3.053072,20.544714,0.036546,1.000000
569,182,143.410880,3.281262,2.965960,4360.135640,1099.389709,2.586611,21.126931,0.147354,0.637500
570,427,145.508510,4.379064,3.284280,4018.833373,938.041705,2.305859,20.566968,0.084370,1.000000
