ix96629, plate, fiber, Z_START, Z_END, RA, DEC
421,884,475,2.320858,3.013688,186.048130,52.871154
422,897,138,2.280578,3.484967,134.214080,43.970040
423,537,203,2.433605,2.654060,221.458150,0.513117
424,616,127,2.200000,2.507709,235.356120,53.803602
425,2000,441,2.340030,2.806204,190.215610,39.390836
426,530,245,2.250501,2.610936,206.847320,1.388231
427,582,359,2.200000,2.927835,210.611310,5.064944
428,856,628,3.101572,3.661920,210.263090,5.653956
429,605,273,2.311695,3.215687,209.281340,61.709633
430,2103,470,3.156716,4.319735,180.088110,36.323933
431,419,349,2.359312,2.828518,9.916517,15.455681
432,353,177,3.309733,4.439525,257.560520,59.390695
433,1046,224,2.200000,2.290681,216.616720,50.046754
434,852,205,2.758810,3.961643,201.340230,3.559963
435,1215,282,2.637897,3.621399,143.287700,39.344018
436,1168,480,3.026710,4.098767,236.528310,46.937390
437,1699,231,3.644622,3.650000,202.191930,11.668708
438,1744,368,2.731216,4.020983,149.904660,13.204304
439,1400,455,2.200000,3.117172,230.811960,38.233897
440,1453,223,2.285870,3.374226,187.088550,47.469188
441,326,415,2.680021,3.693887,171.642850,-1.410265
442,390,271,3.171097,4.274205,4.958558,-0.677994
443,1361,543,2.938677,4.049772,161.203290,42.585933
444,1187,37,4.027480,4.409964,131.215530,5.307727
445,550,407,2.200000,3.151040,129.509770,48.903612
446,586,635,2.918775,4.236031,220.322760,3.986262
447,784,292,2.460592,3.507965,198.253770,60.719318
448,2035,438,2.482975,3.562356,177.355860,36.374619
449,923,499,2.775290,3.152179,228.267240,-1.516701
450,663,375,2.200000,2.530588,24.351799,-8.405511
451,973,140,3.077090,4.323042,255.702320,31.679996
452,341,2,3.982535,4.010786,201.196920,-3.232848
453,557,7,2.307885,2.360129,149.668390,56.112508
454,983,301,3.180713,4.139922,312.423290,-0.680933
455,313,62,2.410754,3.201560,232.161630,-0.244177
456,1584,557,2.266257,3.322043,122.883000,22.776943
457,1736,634,2.899872,3.314084,117.635680,44.757275
458,1054,248,3.226203,3.451812,238.881850,38.823579
459,1969,523,2.538754,3.662732,160.739710,31.017610
460,1811,84,2.225896,2.490532,215.503880,7.674714
461,1047,275,2.997149,3.873711,218.988200,49.088433
462,532,517,2.713217,3.957435,212.212130,2.089634
463,1212,227,2.200000,2.800323,136.400300,35.931026
464,569,175,2.790097,3.761385,143.892490,3.525919
465,997,555,2.390395,3.353189,154.590320,6.742891
466,538,322,3.405045,4.425289,222.783090,2.937678
467,1323,145,3.073337,3.639021,209.247420,54.555232
468,727,363,3.073337,4.130517,315.568850,10.818500
469,858,538,2.303318,3.304728,118.364410,27.499218
470,2003,10,2.394301,3.127825,186.967140,35.507379
471,340,234,2.200000,2.841358,197.812110,-2.512649
472,1008,448,2.200000,2.390097,155.835030,52.243821
473,2000,360,2.213293,2.432023,188.991850,38.751603
474,1996,271,2.667333,3.534972,170.486690,39.547656
475,1942,47,2.872134,3.392640,145.456050,29.562045
476,970,154,2.211074,2.956565,184.692560,49.312768
477,2006,543,2.200000,2.523559,196.096840,34.077252
478,456,179,2.200000,2.535963,41.482660,-8.673817
479,1298,624,2.200740,2.647605,132.525350,7.499726
480,461,555,2.872134,3.916538,53.529115,-6.568462
481,1608,19,2.237057,2.476543,176.744080,11.271938
482,1217,342,2.213293,2.929884,148.400750,42.452131
483,852,630,2.200000,2.573593,202.933600,5.165099
484,927,268,2.857006,3.618964,115.112400,22.676258
485,309,592,2.266257,2.722697,224.475210,0.610816
486,872,297,2.304078,2.765396,150.268050,46.506679
487,899,604,2.200000,3.293412,138.791710,47.949675
488,1466,158,3.108188,4.043991,208.977310,45.072502
489,1221,465,2.391176,3.276879,167.075700,9.992068
490,1865,481,2.200000,2.897818,112.511730,43.667511
491,2105,503,2.631201,3.671394,182.999650,36.792541
492,1320,212,3.298831,3.737051,200.690590,55.527263
493,547,505,2.214033,2.391216,125.459600,44.205173
494,793,333,2.200000,2.547606,225.448500,55.561947
495,509,509,2.730357,4.065701,167.535910,2.749478
496,451,174,2.893591,4.033932,140.734160,56.313684
497,285,14,2.654688,3.546446,180.542020,-0.907096
